Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps)
2015-05-04 21:50:15,2015-05-05 06:28:14,63%,8:37,,,,1009
2015-05-05 23:19:54,2015-05-06 07:11:07,82%,7:51,,,,9439
2015-05-07 04:12:10,2015-05-07 07:00:04,33%,2:47,,,,3861
2015-05-07 22:56:09,2015-05-08 06:49:35,85%,7:53,,,,8067
2015-05-09 00:04:12,2015-05-09 06:42:45,65%,6:38,,,,10601
2015-05-09 23:21:06,2015-05-10 06:24:49,75%,7:03,,,,15606
2015-05-10 22:37:12,2015-05-11 06:52:38,86%,8:15,,,,2178
2015-05-11 22:54:38,2015-05-12 06:57:50,67%,8:03,,,,4201
2015-05-12 23:27:32,2015-05-13 06:26:38,64%,6:59,,,,10348
2015-05-13 23:06:02,2015-05-14 06:55:06,69%,7:49,,,,8442
2015-05-14 23:32:40,2015-05-15 07:00:08,79%,7:27,,,,8190
2015-05-15 23:53:22,2015-05-16 08:34:15,89%,8:40,,,,4731
2015-05-16 22:37:53,2015-05-17 06:39:47,90%,8:01,,,,13834
2015-05-17 23:33:01,2015-05-18 07:12:12,69%,7:39,,,,8998
2015-05-18 21:48:43,2015-05-19 06:44:21,82%,8:55,,,,2195
2015-05-19 23:24:20,2015-05-20 06:44:59,78%,7:20,,,,10033
2015-05-21 00:28:43,2015-05-21 07:17:10,75%,6:48,,,,14686
2015-05-21 22:28:27,2015-05-22 07:00:12,100%,8:31,,,,4248
2015-05-23 00:13:40,2015-05-23 06:50:29,75%,6:36,,,,7530
2015-05-23 22:45:49,2015-05-24 06:49:45,90%,8:03,,,,16650
2015-05-25 00:01:25,2015-05-25 07:58:24,77%,7:56,,,,21034
2015-05-25 21:27:09,2015-05-26 06:40:58,84%,9:13,,,,15214
2015-05-26 23:23:30,2015-05-27 07:12:24,76%,7:48,,,,9830
2015-05-28 00:11:10,2015-05-28 07:14:39,63%,7:03,,,,4300
2015-05-28 22:54:15,2015-05-29 06:45:19,74%,7:51,,,,3285
2015-05-30 21:59:13,2015-05-31 07:13:30,96%,9:14,,,,3737
2015-05-31 21:14:23,2015-06-01 06:57:15,80%,9:42,,,,2658
2015-06-01 22:14:40,2015-06-02 06:34:30,66%,8:19,,,,2668
